fcst_Week Num,fc_year,Week Start Date
23,2019,6/2/2019
24,2019,6/9/2019
25,2019,6/16/2019
26,2019,6/23/2019
27,2019,6/30/2019
28,2019,7/7/2019
29,2019,7/14/2019
30,2019,7/21/2019
31,2019,7/28/2019
32,2019,8/4/2019
33,2019,8/11/2019
34,2019,8/18/2019
35,2019,8/25/2019
36,2019,9/1/2019
37,2019,9/8/2019
38,2019,9/15/2019
39,2019,9/22/2019
40,2019,9/29/2019
41,2019,10/6/2019
42,2019,10/13/2019
43,2019,10/20/2019
44,2019,10/27/2019
45,2019,11/3/2019
46,2019,11/10/2019
47,2019,11/17/2019
48,2019,11/24/2019
49,2019,12/1/2019
50,2019,12/8/2019
51,2019,12/15/2019
52,2019,12/22/2019
1,2020,12/29/2019
2,2020,1/5/2020
3,2020,1/12/2020
4,2020,1/19/2020
5,2020,1/26/2020
6,2020,2/2/2020
7,2020,2/9/2020
8,2020,2/16/2020
9,2020,2/23/2020
10,2020,3/1/2020
11,2020,3/8/2020
12,2020,3/15/2020
13,2020,3/22/2020
14,2020,3/29/2020
15,2020,4/5/2020
16,2020,4/12/2020
17,2020,4/19/2020
18,2020,4/26/2020
19,2020,5/3/2020
20,2020,5/10/2020
21,2020,5/17/2020
22,2020,5/24/2020
23,2020,5/31/2020
24,2020,6/7/2020
25,2020,6/14/2020
26,2020,6/21/2020
27,2020,6/28/2020
28,2020,7/5/2020
29,2020,7/12/2020
30,2020,7/19/2020
31,2020,7/26/2020
32,2020,8/2/2020
33,2020,8/9/2020
34,2020,8/16/2020
35,2020,8/23/2020
36,2020,8/30/2020
37,2020,9/6/2020
38,2020,9/13/2020
39,2020,9/20/2020
40,2020,9/27/2020
41,2020,10/4/2020
42,2020,10/11/2020
43,2020,10/18/2020
44,2020,10/25/2020
45,2020,11/1/2020
46,2020,11/8/2020
47,2020,11/15/2020
48,2020,11/22/2020
49,2020,11/29/2020
50,2020,12/6/2020
51,2020,12/13/2020
52,2020,12/20/2020
1,2021,12/27/2020
2,2021,1/3/2021
3,2021,1/10/2021
4,2021,1/17/2021
5,2021,1/24/2021
6,2021,1/31/2021
7,2021,2/7/2021
8,2021,2/14/2021
9,2021,2/21/2021
10,2021,2/28/2021
11,2021,3/7/2021
12,2021,3/14/2021
13,2021,3/21/2021
14,2021,3/28/2021
15,2021,4/4/2021
16,2021,4/11/2021
17,2021,4/18/2021
18,2021,4/25/2021
19,2021,5/2/2021
20,2021,5/9/2021
21,2021,5/16/2021
22,2021,5/23/2021
23,2021,5/30/2021
24,2021,6/6/2021
25,2021,6/13/2021
26,2021,6/20/2021
27,2021,6/27/2021
28,2021,7/4/2021
29,2021,7/11/2021
30,2021,7/18/2021
31,2021,7/25/2021
32,2021,8/1/2021
